"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-03",,,,,"0.0","0.0","0.0",,"13.3","3.9","10.0",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-04",,,,,"2.5","0.0","0.0",,"12.2","6.7","8.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-05",,,,,"0.0","0.0","0.0",,"15.6","7.8","8.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-06",,,,,"1.8","0.0","0.0",,"17.8","7.2","7.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-07",,,,,"0.0","0.0","0.0",,"17.8","7.2","7.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-08",,,,,"5.1","0.0","0.0",,"18.3","7.2","10.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-09",,,,,"0.0","0.0","0.0",,"17.8","6.7","7.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-10",,,,,"2.8","0.0","0.0",,"13.3","2.2","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-11",,,,,"0.0","0.0","0.0",,"8.3","2.2","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-12",,,,,"0.0","0.0","0.0",,"11.7","-1.7","1.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-13",,,,,"20.1","0.0","0.0",,"17.2","1.1","12.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-14",,,,,"39.4","0.0","0.0",,"18.9","7.2","7.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-15",,,,,"0.8","0.0","0.0",,"12.8","3.3","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-16",,,,,"0.5","0.0","0.0",,"10.6","2.8","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-17",,,,,"0.0","0.0","0.0",,"8.3","-2.8","0.0",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-18",,,,,"12.7","0.0","0.0",,"9.4","0.0","5.0",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-20",,,,,"0.0","0.0","0.0",,"15.0","4.4","8.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-21",,,,,"0.0","0.0","0.0",,"13.3","1.1","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-22",,,,,"5.1","0.0","0.0",,"13.3","1.1","2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-23",,,,,"0.0","0.0","0.0",,"9.4","0.6","2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-25",,,,,"7.6","0.0","0.0",,"10.0","2.2","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-26",,,,,"0.5","0.0","0.0",,"17.2","3.9","7.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-27",,,,,"10.4","0.0","0.0",,"8.9","3.9","4.4",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-28",,,,,"0.3","0.0","0.0",,"9.4","3.3","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-29",,,,,"0.0","0.0","0.0",,"18.3","3.9","7.2",,,,,,,,,,,,,,,,
